"","REPORTED_DATE","TRAVEL","CLOSE_CONTACT"
"1",2020-03-14,1,0
"2",2020-03-16,0,2
"3",2020-03-19,1,0
"4",2020-03-20,1,0
"5",2020-03-21,3,0
"6",2020-03-22,3,0
"7",2020-03-23,5,0
"8",2020-03-24,1,0
"9",2020-03-25,5,0
"10",2020-03-26,2,0
"11",2020-03-27,3,0
"12",2020-03-28,1,0
"13",2020-03-30,3,1
"14",2020-04-01,1,2
"15",2020-04-02,2,0
"16",2020-04-03,1,0
"17",2020-04-04,1,1
"18",2020-04-05,3,1
"19",2020-04-06,0,1
"20",2020-04-07,2,0
"21",2020-04-08,2,2
"22",2020-04-09,1,0
"23",2020-04-10,1,1
"24",2020-04-11,1,0
"25",2020-04-12,2,0
"26",2020-04-14,2,0
"27",2020-05-06,1,0
"28",2020-05-28,1,0
"29",2020-07-10,1,0
"30",2020-07-21,1,0
"31",2020-07-22,0,1
"32",2020-07-23,1,0
"33",2020-07-25,0,1
"34",2020-08-07,1,0
"35",2020-08-10,0,1
"36",2020-08-27,1,0
"37",2020-09-05,1,0
"38",2020-09-12,1,0
"39",2020-09-18,1,0
"40",2020-09-27,1,0
"41",2020-09-30,1,0
"42",2020-10-01,1,0
"43",2020-10-03,1,0
"44",2020-10-04,1,0
"45",2020-10-09,1,1
"46",2020-10-12,1,0
"47",2020-10-15,2,1
"48",2020-10-16,1,0
"49",2020-10-21,1,0
"50",2020-10-23,1,0
"51",2020-10-24,1,0
"52",2020-10-25,1,0
"53",2020-11-03,1,0
"54",2020-11-04,2,0
"55",2020-11-07,2,0
"56",2020-11-10,2,0
"57",2020-11-13,1,0
"58",2020-11-14,4,0
"59",2020-11-17,2,1
"60",2020-11-20,1,2
"61",2020-11-21,0,1
"62",2020-11-22,1,0
"63",2020-11-23,1,1
"64",2020-11-25,2,0
"65",2020-11-26,2,0
"66",2020-11-27,0,1
"67",2020-11-28,2,0
"68",2020-11-29,2,2
"69",2020-12-01,2,0
"70",2020-12-03,2,0
"71",2020-12-04,1,2
"72",2020-12-05,1,0
"73",2020-12-06,3,0
"74",2020-12-08,2,0
"75",2020-12-11,1,1
"76",2020-12-12,1,0
"77",2020-12-13,1,0
"78",2020-12-14,1,0
"79",2020-12-15,2,0
"80",2020-12-16,3,0
"81",2020-12-17,4,1
"82",2020-12-18,7,0
"83",2020-12-19,6,0
"84",2020-12-22,2,0
"85",2020-12-24,2,0
"86",2020-12-27,3,0
"87",2020-12-29,1,0
"88",2021-01-04,2,0
"89",2021-01-09,1,0
"90",2021-01-13,1,0
"91",2021-01-14,1,0
"92",2021-01-16,1,0
"93",2021-01-21,2,0
"94",2021-01-26,1,0
"95",2021-01-28,4,0
"96",2021-02-03,2,0
"97",2021-02-05,0,1
"98",2021-02-06,2,0
"99",2021-02-10,1,0
"100",2021-02-11,1,0
"101",2021-02-13,1,0
"102",2021-02-15,1,0
"103",2021-02-21,1,0
"104",2021-02-22,2,0
"105",2021-02-23,0,1
"106",2021-02-26,1,0
"107",2021-02-28,0,1
"108",2021-03-03,1,0
"109",2021-03-04,1,0
"110",2021-03-06,1,1
"111",2021-03-11,1,0
"112",2021-03-15,1,0
"113",2021-03-18,1,0
"114",2021-03-27,1,0
"115",2021-03-29,1,0
"116",2021-03-30,1,0
"117",2021-03-31,2,0
"118",2021-04-08,1,0
"119",2021-04-09,2,0
"120",2021-04-10,0,2
"121",2021-04-11,0,1
"122",2021-04-13,3,0
"123",2021-04-14,2,0
"124",2021-04-15,2,0
"125",2021-04-16,2,0
"126",2021-04-17,2,1
"127",2021-04-18,1,0
"128",2021-04-19,1,1
"129",2021-04-20,2,0
"130",2021-04-21,1,0
"131",2021-04-22,1,0
"132",2021-04-24,3,0
"133",2021-04-25,4,0
"134",2021-04-26,1,0
"135",2021-04-27,1,0
"136",2021-04-28,3,0
"137",2021-04-29,5,0
"138",2021-04-30,6,0
"139",2021-05-01,20,0
"140",2021-05-02,4,0
"141",2021-05-03,2,0
"142",2021-05-04,4,2
"143",2021-05-05,5,0
"144",2021-05-06,4,1
"145",2021-05-07,7,0
"146",2021-05-08,5,1
"147",2021-05-09,3,0
"148",2021-05-10,6,0
"149",2021-05-11,8,2
"150",2021-05-12,7,1
"151",2021-05-13,8,2
"152",2021-05-14,3,0
"153",2021-05-15,9,0
"154",2021-05-16,4,1
"155",2021-05-17,3,4
"156",2021-05-18,5,3
"157",2021-05-19,0,1
"158",2021-05-20,4,0
"159",2021-05-21,0,1
"160",2021-05-22,3,0
"161",2021-05-23,1,1
"162",2021-05-25,1,0
"163",2021-05-26,2,1
"164",2021-05-27,2,0
"165",2021-05-28,2,0
"166",2021-05-29,1,0
"167",2021-05-30,1,1
"168",2021-06-01,3,0
"169",2021-06-02,1,0
"170",2021-06-06,2,0
"171",2021-06-09,1,0
"172",2021-06-11,1,0
"173",2021-06-14,1,0
"174",2021-06-15,1,0
"175",2021-06-28,1,0
"176",2021-06-29,1,0
"177",2021-07-01,1,0
"178",2021-07-03,12,0
"179",2021-07-04,1,0
"180",2021-07-09,2,0
"181",2021-07-11,5,0
"182",2021-07-14,3,0
"183",2021-07-15,23,0
"184",2021-07-17,4,0
"185",2021-07-29,2,0
"186",2021-07-30,1,0
"187",2021-08-01,1,0
"188",2021-08-04,1,0
"189",2021-08-06,2,0
"190",2021-08-10,1,0
"191",2021-08-12,3,0
"192",2021-08-14,1,0
"193",2021-08-15,1,1
"194",2021-08-16,1,0
"195",2021-08-17,1,2
"196",2021-08-18,1,0
"197",2021-08-19,1,0
"198",2021-08-20,1,1
"199",2021-08-21,1,0
"200",2021-08-24,1,0
"201",2021-08-25,4,1
"202",2021-08-26,3,0
"203",2021-08-27,0,1
"204",2021-08-28,1,0
"205",2021-08-30,4,0
"206",2021-08-31,2,1
"207",2021-09-01,1,1
"208",2021-09-02,3,1
"209",2021-09-03,1,1
"210",2021-09-04,2,0
"211",2021-09-05,2,1
"212",2021-09-06,2,0
"213",2021-09-07,2,1
"214",2021-09-09,3,0
"215",2021-09-11,3,0
"216",2021-09-12,1,0
"217",2021-09-14,3,1
"218",2021-09-15,2,0
"219",2021-09-16,1,0
"220",2021-09-17,2,0
"221",2021-09-18,1,1
"222",2021-09-19,2,0
"223",2021-09-20,1,0
"224",2021-09-21,3,0
"225",2021-09-22,1,0
"226",2021-09-23,2,0
"227",2021-09-24,2,0
"228",2021-09-25,1,1
"229",2021-09-26,1,3
"230",2021-09-29,2,0
"231",2021-09-30,3,2
"232",2021-10-01,3,0
"233",2021-10-02,3,0
"234",2021-10-03,1,0
"235",2021-10-05,3,1
"236",2021-10-06,0,3
"237",2021-10-07,3,0
"238",2021-10-08,5,0
"239",2021-10-09,2,0
"240",2021-10-10,0,1
"241",2021-10-12,2,0
"242",2021-10-13,2,0
"243",2021-10-14,1,0
"244",2021-10-15,2,0
"245",2021-10-17,1,1
"246",2021-10-21,0,1
"247",2021-10-22,1,0
"248",2021-10-24,1,0
"249",2021-10-29,1,0
"250",2021-10-31,1,0
"251",2021-11-03,0,1
"252",2021-11-04,1,0
"253",2021-11-05,1,0
"254",2021-11-07,3,1
"255",2021-11-08,0,1
"256",2021-11-09,0,1
"257",2021-11-10,1,2
"258",2021-11-11,0,1
"259",2021-11-16,1,0
"260",2021-11-22,3,0
"261",2021-11-24,2,0
"262",2021-11-25,1,1
"263",2021-11-26,1,1
"264",2021-11-27,0,1
"265",2021-11-28,1,2
"266",2021-12-06,2,0
"267",2021-12-08,0,1
"268",2021-12-11,1,2
"269",2021-12-12,1,0
"270",2021-12-13,2,0
"271",2021-12-14,1,0
"272",2021-12-15,5,1
"273",2021-12-16,2,2
"274",2021-12-17,5,6
"275",2021-12-18,4,2
"276",2021-12-19,6,12
"277",2021-12-20,7,5
"278",2021-12-21,6,10
"279",2021-12-22,16,7
"280",2021-12-23,19,9
"281",2021-12-24,12,2
"282",2021-12-25,3,6
"283",2021-12-26,5,2
"284",2021-12-27,1,0
"285",2021-12-29,4,6
"286",2021-12-30,5,4
"287",2021-12-31,6,8
"288",2022-01-01,8,4
"289",2022-01-02,3,0
"290",2022-01-03,2,6
"291",2022-01-04,4,2
"292",2022-01-05,2,1
"293",2022-01-06,6,2
"294",2022-01-07,9,3
"295",2022-01-08,2,0
"296",2022-01-09,7,2
"297",2022-01-10,1,0
"298",2022-01-11,3,3
"299",2022-01-12,5,0
"300",2022-01-14,4,0
"301",2022-03-14,1,0
"302",2022-03-27,1,0
"303",2022-04-09,0,1
